软件工程师,job_id,job_count,job_name,tier2
0,0,429085,nan,
1,1743,178715,销售代表,
2,952,60641,无,
3,960,54484,普工,
4,261,46957,其他,
5,968,42505,服务员,
6,741,40388,店员/营业员,
7,1284,38039,电话销售,
8,607,30492,客服专员/助理,
9,1752,27988,销售经理,
10,190,24821,保安,
11,932,24799,文员,
12,1520,24260,行政专员/助理,
13,1753,21913,销售经理/主管,
14,916,20783,教师/助教,
15,314,19659,前台/总机/接待,
16,160,17671,会计/会计师,
17,905,17146,收银员,
18,1651,17113,软件工程师,
19,1665,15724,送餐员,
20,814,15176,房产经纪人,
21,180,14823,促销/导购员,
22,1442,13876,美容师,
23,1745,13559,销售助理,
24,1609,13496,货运司机,
25,963,13300,普工/操作工,
26,710,12774,平面设计,
27,1426,12161,网络销售,
28,1412,11788,网络/在线客服,
29,131,11749,仓库管理员,
30,1741,11492,销售主管,
31,116,11246,人事专员/助理,
32,1103,11184,淘宝客服,
33,1748,10289,销售总监,
34,1413,10159,网络/在线销售,
35,1429,9970,置业顾问,
36,889,9775,招聘专员/助理,
37,464,9663,商务司机,
38,788,9474,快递员,
39,193,9000,保洁,
40,540,8982,大客户销售,
41,1747,8942,销售工程师,
42,428,8485,后厨,
43,159,8468,会计,
44,684,8450,市场专员/助理,
45,329,8361,助理/秘书/文员,
46,405,8346,厨师/厨师长,
47,902,8297,操作工,
48,1282,8061,电话客服,
49,746,8016,店长/卖场经理,
50,1614,7684,质量检验员/测试员,
51,374,7545,医药代表,
52,589,7393,客户代表,
53,888,7388,招生/课程顾问,
54,455,7376,售前/售后技术支持工程师,
55,596,7221,客户服务专员/助理,
56,715,7039,幼教/早教,
57,1064,6880,汽车销售,
58,1268,6841,电工,
59,1167,6681,物流专员/助理,
60,501,6635,培训/招生/课程顾问,
61,289,6617,出纳员,
62,1854,6534,高级软件工程师,
63,125,6510,人力资源专员/助理,
64,115,6444,人事专员,
65,265,6345,其他职位,
66,1594,6298,财务/会计助理,
67,1111,6250,渠道/分销专员,
68,412,6241,发型师,
69,235,6178,储备干部,
70,563,6057,学徒,
71,1401,6033,网店运营,
72,576,5957,实习生,
73,940,5804,新媒体运营,
74,1624,5749,贸易/外贸专员/助理,
75,458,5729,售前/售后服务,
76,828,5545,房地产销售,
77,680,5494,市场/营销/拓展专员,
78,1039,5436,汽车修理工,
79,601,5351,客户经理/主管,
80,714,5259,幼教,
81,1432,5229,美发助理/学徒,
82,819,5177,房地产中介/置业顾问,
83,1233,5000,生物工程/生物制药,
84,1531,4998,装修装潢设计,
85,638,4946,小学教师,
86,1104,4934,淘宝美工,
87,871,4826,护士/护理,
88,742,4821,店员/营业员/导购员,
89,357,4717,区域销售经理/主管,
90,829,4628,房地产销售/置业顾问,
91,1683,4624,配菜/打荷,
92,1360,4606,经理助理/秘书,
93,1696,4521,采购员,
94,426,4497,后勤,
